;;;;;;;;;;;;;;;;
NO;MATA KULIAH ;CPMK;SUB CPMK 1;SUB CPMK 2;SUB CPMK 3;SUB CPMK 4 ;SUB CPMK 5;SUB CPMK 6;SUB CPMK 7;SUB CPMK 8;SUB CPMK 9;SUB CPMK 10;SUB CPMK 11;SUB CPMK 12;SUB CPMK 13;SUB CPMK 14
;;Mengimplementasikan containerization dan deployment menggunakan Docker dan Kubernetes;;;;Membuat Dockerfile dan menjalankan container dan Melakukan deployment aplikasi menggunakan Kubernetes.;;;;;;;;;;
;;Mengintegrasikan monitoring dan notifikasi dalam pipeline;;;;;Menggunakan Prometheus/Grafana untuk monitoring dan Menyusun alert dan laporan otomatis hasil deployment.;;;;;;;;;
;;Menunjukkan kolaborasi, tanggung jawab, dan dokumentasi profesional dalam pelaksanaan DevOps;;;;;;Berkontribusi dalam tim secara efektif dan Menyusun dokumentasi pipeline dan laporan proyek akhir.;;;;;;;;
67;ADVANCED SOFTWARE DESIGN AND ARCHITECTURE;Mahasiswa mampu menjelaskan prinsip arsitektur perangkat lunak, menganalisis kebutuhan sistem, merancang arsitektur dengan design pattern, mendokumentasikan arsitektur menggunakan standar industri, serta mengevaluasi kualitas arsitektur dengan tools modern.;Mahasiswa mampu menjelaskan secara komprehensif konsep dasar software architecture, meliputi definisi, ruang lingkup, gaya arsitektur, dan prinsip desain perangkat lunak;Mahasiswa mampu menganalisis kebutuhan sistem kompleks serta mengevaluasi trade-off antar gaya arsitektur.;Mahasiswa mampu menerapkan design pattern untuk membangun solusi perangkat lunak yang reusable, maintainable, dan scalable.;Mahasiswa mampu mendokumentasikan arsitektur perangkat lunak menggunakan standar industri, serta menyusun artefak arsitektur yang dapat dipahami oleh stakeholder.;Mahasiswa mampu mengevaluasi kualitas arsitektur perangkat lunak, mengukur atribut kualitas, serta menyajikan hasil proyek arsitektur dalam bentuk laporan dan presentasi ilmiah.;;;;;;;;;
68;ADVANCED NETWORK SECURITY AND PROTOCOLS;1). Menjelaskan konsep keamanan jaringan tingkat lanjut;Menjelaskan prinsip kriptografi modern dan penerapannya dalam jaringan. Dan Mendeskripsikan model ancaman dan serangan jaringan terkini.;;;;;;;;;;;;;
;;2). Menganalisis keamanan pada berbagai lapisan protokol jaringan;;Mengidentifikasi kerentanan pada protokol TCP/IP. Dan Menjelaskan mekanisme keamanan pada SSL/TLS dan IPSec.;;;;;;;;;;;;
;;3). Merancang kebijakan dan sistem keamanan jaringan;;;Membuat konfigurasi firewall, VPN, IDS/IPS. Dan Menyusun kebijakan keamanan dan strategi mitigasi serangan.;;;;;;;;;;;
;;4). Mengimplementasikan keamanan jaringan dalam simulasi nyata;;;;Melakukan pengujian serangan (penetration test) secara etis. Dan Mengevaluasi efektivitas konfigurasi keamanan jaringan.;;;;;;;;;;
;;5). Menunjukkan sikap profesional dan tanggung jawab etis dalam pengelolaan keamanan jaringan;;;;;Menunjukkan sikap hati-hati, jujur, dan bertanggung jawab dalam eksperimen keamanan.;;;;;;;;;
69;PRAKTIKUM ADVANCED NETWORK SECURITY AND PROTOCOLS;1). Memahami konsep advanced network security dan protokol komunikasi;Menjelaskan fungsi dan peran protokol keamanan (SSL/TLS, IPsec, HTTPS) dan Menjelaskan ancaman dan mitigasi dalam komunikasi jaringan modern.;;;;;;;;;;;;;
;;2). Melakukan konfigurasi keamanan jaringan (firewall, VPN, IDS/IPS);;Melakukan setup firewall dengan iptables dan Mengimplementasikan VPN menggunakan OpenVPN.;;;;;;;;;;;;
;;3). Melakukan analisis dan monitoring lalu lintas jaringan;;;Menggunakan Wireshark dan tcpdump untuk analisis paket dan Mengidentifikasi pola serangan dari hasil capture data.;;;;;;;;;;;
;;4). Mengimplementasikan protokol enkripsi dan keamanan data;;;;Menguji penggunaan SSL/TLS dalam komunikasi client-server dan Mengamankan komunikasi menggunakan SSH dan IPsec.;;;;;;;;;;
;;5). Melakukan simulasi deteksi dan mitigasi serangan jaringan;;;;;Melakukan simulasi serangan DoS atau sniffing di lingkungan lab dan Mengonfigurasi IDS/IPS (Snort) untuk mendeteksi serangan.;;;;;;;;;
;;6). Menunjukkan sikap profesional, disiplin, dan etis dalam pengujian keamanan jaringan;;;;;;Menjaga kerahasiaan data uji dan hasil analisis dan Bekerja kolaboratif dan bertanggung jawab terhadap keamanan sistem.;;;;;;;;
70;ETHICAL HACKING AND PENETRATION TESTING I;1). Menjelaskan konsep dasar ethical hacking, penetration testing, dan peranannya dalam keamanan siber.;Memahami konsep ethical hacking dan penetration testing Mampu menjelaskan prinsip dasar keamanan siber dan ruang lingkup etika profesional;;;;;;;;;;;;;
;;2). Mengidentifikasi tahapan-tahapan utama dalam proses penetration testing;;Mengidentifikasi tahapan pentesting dam Menjelaskan proses reconnaissance, scanning, exploitation, dan reporting;;;;;;;;;;;;
;;3). Melakukan analisis kerentanan pada sistem jaringan dan aplikasi menggunakan tools keamanan.;;;Menggunakan tools scanning dan enumeration Mampu menggunakan Nmap, Nessus, dan Nikto untuk menemukan kerentanan;;;;;;;;;;;
;;4). Melakukan simulasi serangan secara terkendali dan mendokumentasikan hasil pengujian dengan benar.;;;;Melakukan exploitation dasar Melakukan eksploitasi sistem uji menggunakan Metasploit / Burp Suite;;;;;;;;;;
;;5). Menyusun laporan hasil penetration testing dan rekomendasi perbaikan sistem.;;;;;Melakukan analisis hasil pengujianMenginterpretasi data hasil eksploitasi untuk rekomendasi mitigasi;;;;;;;;;
;;6). Menunjukkan perilaku etis dan profesional dalam melaksanakan ethical hacking sesuai hukum dan standar;;;;;;Menyusun laporan uji keamananMembuat laporan penetration testing profesional dengan format industri serta  Menunjukkan etika profesional;;;;;;;;
71;PRAKTIKUM ETHICAL HACKING AND PENETRATION TESTING I;1). Memahami prinsip dasar ethical hacking dan etika profesional;Menjelaskan konsep white hat, black hat, dan grey hat hacker dan Menjelaskan tanggung jawab hukum dalam penetration testing.;;;;;;;;;;;;;
;;2). Mampu melakukan reconnaissance dan information gathering terhadap target sistem;;Menggunakan tools seperti Nmap, Whois, dan Shodan dan Mengidentifikasi potensi titik lemah dari hasil scanning.;;;;;;;;;;;;
;;3). Melakukan vulnerability assessment dengan berbagai scanner;;;Menggunakan Nessus atau OpenVAS untuk pemindaian kerentanan dan Menganalisis hasil pemindaian dan menentukan prioritas risiko.;;;;;;;;;;;
;;4). Melakukan eksploitasi terhadap sistem uji (controlled environment);;;;Menggunakan Metasploit Framework dan Mengevaluasi dampak dari exploit yang dilakukan.;;;;;;;;;;
;;5). Mengidentifikasi dan menganalisis hasil exploit untuk dokumentasi keamanan;;;;;Melakukan privilege escalation dan post-exploitation secara aman dan Menyusun laporan hasil pengujian keamanan.;;;;;;;;;
;;6). Menunjukkan sikap etis dan tanggung jawab dalam melaksanakan uji keamanan;;;;;;Bekerja dalam tim secara profesional dan Menghindari tindakan pelanggaran hukum dalam praktik.;;;;;;;;
72; SECURITY GOVERNANCE, RISK, AND COMPLIANCE (GRC);1). Menjelaskan konsep dasar dan kerangka kerja Security Governance, Risk, and Compliance (GRC).;Menjelaskan konsep GRC dan kerangkanya dan Mampu menjelaskan hubungan antara governance, risk, dan compliance dalam keamanan;;;;;;;;;;;;;
;;2). Mengidentifikasi dan menganalisis risiko keamanan informasi dalam organisasi;;Menganalisis risiko keamanan informasi dan Mampu mengidentifikasi aset, ancaman, dan kerentanan organisasi;;;;;;;;;;;;
;;3). Merancang kebijakan dan prosedur keamanan informasi berdasarkan standar ISO;;;Menggunakan standar ISO 27001 dan NIST sehingga Mampu memetakan kontrol keamanan berdasarkan ISO;;;;;;;;;;;
;;4). Mengimplementasikan metode penilaian risiko dan strategi mitigasi keamanan informasi.;;;;Melakukan penilaian risiko dan Mampu menerapkan metode penilaian risiko seperti OCTAVE atau FAIR;;;;;;;;;;
;;5). Mengevaluasi tingkat kepatuhan organisasi terhadap kebijakan dan regulasi keamanan informasi.;;;;;Menyusun kebijakan keamanan sehingga Mampu menulis kebijakan keamanan informasi sesuai standar ISO ;;;;;;;;;
;;6). Menunjukkan profesionalisme, integritas, dan etika dalam tata kelola keamanan informasi. ;;;;;;Mengevaluasi kepatuhan dengan Mampu menilai maturity level GRC menggunakan framework COBIT atau ISO;Menunjukkan etika profesional Menunjukkan tanggung jawab dan objektivitas dalam audit dan pelaporan keamanan;;;;;;;
73;ALGORITMA PEMOGRAMAN PARALEL;1). Mahasiswa mampu menjelaskan konsep dasar komputasi paralel dan arsitektur sistem paralel.;Menjelaskan perbedaan komputasi sekuensial dan paralel, menguraikan arsitektur multiprosesor, multi-core, dan GPU, serta Menjelaskan model pemrograman paralel (shared memory, distributed memory).;;;;;;;;;;;;;
;;2). Mahasiswa mampu menganalisis kompleksitas algoritma paralel.;;Menghitung speedup, efisiensi, dan scalability algoritma, Menganalisis Amdahl’s Law dan Gustafson’s Law, serta Mengevaluasi trade-off antara komunikasi dan komputasi.;;;;;;;;;;;;
;;3). Mahasiswa mampu merancang algoritma paralel untuk menyelesaikan permasalahan komputasi.;;;Membuat algoritma paralel sederhana berbasis divide and conquer, Mendesain algoritma paralel untuk sorting, searching, dan operasi matriks dan Membandingkan algoritma paralel dengan algoritma sekuensial;;;;;;;;;;;
;;4). Mahasiswa mampu mengimplementasikan algoritma paralel pada bahasa pemrograman dan platform tertentu.;;;;Menggunakan thread library (misalnya OpenMP, pthreads), Mengimplementasikan komunikasi antar-proses menggunakan MPI dan Mengimplementasikan algoritma paralel berbasis GPU (CUDA/OpenCL).;;;;;;;;;;
;;5). Mahasiswa mampu menunjukkan keterampilan kerja tim, komunikasi, dan etika dalam pengembangan perangkat lunak paralel.;;;;;Bekerja dalam kelompok untuk menyelesaikan proyek pemrograman paralel, menyajikan hasil proyek dan menunjukkan tanggung jawab etis dalam penggunaan sumber daya komputasi;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
74;APLIKASI KOMPUTASI BERGERAK;1). Memahami konsep dasar komputasi bergerak dan arsitektur aplikasi mobile.;Menjelaskan konsep dasar dan komponen utama komputasi bergerak.;;;;;;;;;;;;;
;;2). Mampu merancang antarmuka pengguna untuk aplikasi mobile.;;Merancang antarmuka pengguna berbasis mobile.;;;;;;;;;;;;
;;3).  Mengimplementasikan aplikasi mobile menggunakan framework atau tools modern.;;;Mengimplementasikan aplikasi sederhana menggunakan framework mobile.;;;;;;;;;;;
;;4). Menganalisis performa dan pengamanan aplikasi mobile.;;;;Mengintegrasikan aplikasi mobile dengan API eksternal.;Melakukan pengujian dan analisis performa aplikasi mobile.;Mengamankan aplikasi mobile dari potensi ancaman.;;;;;;;;
75;PRAKTIKUM APLIKASI KOMPUTASI BERGERAK;1). Memahami konsep dasar komputasi bergerak dan arsitektur aplikasi mobile.;Menjelaskan konsep dasar dan komponen utama komputasi bergerak.;;;;;;;;;;;;;
;;2). Mampu merancang antarmuka pengguna untuk aplikasi mobile.;;Merancang antarmuka pengguna berbasis mobile.;;;;;;;;;;;;
;;3).  Mengimplementasikan aplikasi mobile menggunakan framework atau tools modern.;;;Mengimplementasikan aplikasi sederhana menggunakan framework mobile.;;;;;;;;;;;
;;4). Menganalisis performa dan pengamanan aplikasi mobile.;;;;Mengintegrasikan aplikasi mobile dengan API eksternal.;Melakukan pengujian dan analisis performa aplikasi mobile.;Mengamankan aplikasi mobile dari potensi ancaman.;;;;;;;;
76;TEKNOLOGI GAME ;1). Memahami dasar teknologi game dan komponennya;Menjelaskan komponen dasar teknologi game;;;;;;;;;;;;;
;;2). Mampu merancang mekanika permainan dengan pendekatan algoritmik.;;Menganalisis mekanika permainan.;;;;;;;;;;;;
;;3). Mampu mengimplementasikan game sederhana menggunakan game engine populer;;;Merancang mekanika permainan sederhana;;;;;;;;;;;
;;4). Menganalisis dan mengevaluasi kinerja game.;;;;Membangun game sederhana menggunakan game engine;Mengoptimalkan kinerja game;Mengevaluasi dan menyajikan hasil pengembangan game.;;;;;;;;
77;LEGAL ASPEK PRODUK TIK ;1). Mahasiswa mampu menjelaskan Legal Produk TIK;Mahasiswa mampu menjelaskan Legal Produk TIK;;;Mahasiswa mampu menjelaskan Haki (subjek,objek peranan,klasifikasi,macam-macam HAKI dan contoh HAKI);;;;;;;;;;
;;2). Mahasiswa mampu menjelasan dan mengetahui aspek-aspek terhadap pengembangan /penggunaan produk TIK;;Mahasiswa mampu menjelaskan dan mengetahui aspek-aspek terhadap pengembangan /penggunaan produk TIK;;;;;;;;;;;;
;;3). Mahasiswa mampu menjelaskan, memahami dan mengetahui secara umum teknologi informasi konsep Legal aspek terhadap pengembangan dan penggunaan produk TIK;;;Mahasiswa mampu  menjelaskan, memahami dan mengetahui secara umum teknologi informasi konsep Legal Aspek terhadap pengembangan dan penggunaan produk TIK;Mahasiswa mampu menjelaskan Haki (subjek,objek peranan,klasifikasi,macam-macam HAKI dan contoh HAKI);Mahasiswa mampu menjelaskan Merk baik dari segi persyaratan,pendaftaran, prosedur, perpanjangan,pengalihan,perjanjian lisensi,penghapusan dan ganti rugi;Mahasiswa mampu menjelaskan Hak Paten ( objek,subjek, sistem pendaftaran,jangka waktu,pemeriksaan, lisensi,pelaksanaan, dan hak );Mahasiswa mampu menjelaskan Merk baik dari segi persyaratan,pendaftaran, prosedur, perpanjangan,pengalihan,perjanjian lisensi,penghapusan dan ganti rugi;;;;;;;
;;4). Mahasiswa mampu menjelaskan HAKI, Hak Cipta, Hak Paten, Merk dan Desain Industri;;;;Mahasiswa mampu menjelaskan Haki (subjek,objek peranan,klasifikasi,macam-macam HAKI dan contoh HAKI);Mahasiswa mampu menjelaskan Hak Cipta (Fungsi,pemegang,pembatasan,pemeliharaan,jangka waktu,perlindungan Hak Cipta);Mahasiswa mampu menjelaskan Hak Paten ( objek,subjek, sistem pendaftaran,jangka waktu,pemeriksaan, lisensi,pelaksanaan, dan hak );Mahasiswa mampu menjelaskan Merk baik dari segi persyaratan,pendaftaran, prosedur, perpanjangan,pengalihan,perjanjian lisensi,penghapusan dan ganti rugi;;;;;;;
78;DEEP LEARNING AND NEURAL NETWORKS;1). menjelaskan konsep dasar neural networks dan deep learning serta komponennya;learning Mampu menjelaskan struktur jaringan neural dan prinsip backpropagation;;;;;;;;;;;;;
;;2). Mengimplementasikan jaringan saraf tiruan sederhana menggunakan framework deep learning. ;;Membuat model feedforward neural network untuk klasifikasi data;;;;;;;;;;;;
;;3). menganalisis arsitektur CNN, RNN dan Transformer untuk berbagai aplikasi AI;;;Mampu menjelaskan dan menerapkan CNN untuk citra serta RNN untuk urutan data;;;;;;;;;;;
;;4). Melakukan pelatihan, validasi, dan evaluasi model deep learning secara sistematis.;;;;Menggunakan TensorFlow/PyTorch untuk membuat model dan pelatihan;;;;;;;;;;
;;5). Mengoptimalkan performa model dengan teknik regularisasi, tuning hyperparameter, dan transfer learning.;;;;;Menggunakan teknik dropout, batch normalization, dan optimizer berbeda;;;;;;;;;
;;6). Menunjukkan kemampuan etika, profesionalisme, dan kolaborasi dalam proyek deep learning.;;;;;;Membangun model berbasis pretrained network untuk dataset baru;Aktif dalam proyek kelompok dan mematuhi etika penelitian AI Observasi proyek / Presentasi;;;;;;;
79;PRAKTIKUM DEEP LEARNING AND NEURAL NETWORKS;1). Memahami konsep dasar neural networks dan arsitektur dasarnya;;;;;;;;;;;;;;
;;2). Membangun model dasar neural network menggunakan framework deep learning;;;;;;;;;;;;;;
;;3). Menerapkan arsitektur CNN untuk pengolahan citra;;;;;;;;;;;;;;
;;4). Menerapkan RNN/LSTM untuk data sekuensial;;;;;;;;;;;;;;
;;5). Menggunakan transfer learning dan fine-tuning model pre-trained;;;;;;;;;;;;;;
;;6). Menunjukkan kemampuan kolaborasi, etika, dan dokumentasi profesional;;;;;;;;;;;;;;
80;GENERATIVE AI AND LARGE LANGUAGE MODELS;1). Menjelaskan konsep dan arsitektur dasar Generative AI dan LLM;Menjelaskan konsep dasar Generative AI dengan Mampu menjelaskan mekanisme transformer dan model autoregressive;;;;;;;;;;;;;
;;2). Mengimplementasikan model generatif menggunakan framework;;Mengimplementasikan model generatif dengan mampu membuat model teks sederhana ;;;;;;;;;;;;
;;3). Melakukan pre-training dan fine-tuning model LLM untuk domain spesifik;;;Melakukan fine-tuning dengan Melakukan fine-tuning GPT atau BERT untuk teks klasifikasi Laporan praktikum;;;;;;;;;;;
;;4). Mengevaluasi kinerja model generatif berdasarkan metrik;;;;Mengevaluasi model generatif dengan Mengukur kinerja model menggunakan BLEU atau perplexity Praktikum;;;;;;;;;;
;;5). Mengoptimalkan model melalui teknik prompt engineering, transfer learning, dan parameter-efficient fine-tuning;;;;;Mengoptimalkan model dengan prompt engineering dengan Menerapkan zero-shot dan few-shot learning melalui prompt Mini project;;;;;;;;;
;;6). Menerapkan prinsip etika dan keamanan AI dalam pembangunan sistem berbasis LLM;;;;;;Menerapkan etika dan keamanan dengan Mengidentifikasi potensi bias, misuse, dan mitigasinya pada LLM Tugas individu / Studi kasus;"Membangun proyek akhir dengan Mengembangkan aplikasi berbasis LLM untuk domain tertentu Proyek akhir kelompok
";;;;;;;
81;PRAKTIKUM GENERATIVE AI AND LARGE LANGUAGE MODELS;1). Menjelaskan konsep dan arsitektur dasar Generative AI dan LLM;Menjelaskan konsep dasar Generative AI dengan Mampu menjelaskan mekanisme transformer dan model autoregressive;;;;;;;;;;;;;
;;2). Mengimplementasikan model generatif menggunakan framework;;Mengimplementasikan model generatif dengan mampu membuat model teks sederhana ;;;;;;;;;;;;
;;3). Melakukan pre-training dan fine-tuning model LLM untuk domain spesifik;;;Melakukan fine-tuning dengan Melakukan fine-tuning GPT atau BERT untuk teks klasifikasi Laporan praktikum;;;;;;;;;;;
;;4). Mengevaluasi kinerja model generatif berdasarkan metrik;;;;Mengevaluasi model generatif dengan Mengukur kinerja model menggunakan BLEU atau perplexity Praktikum;;;;;;;;;;
;;5). Mengoptimalkan model melalui teknik prompt engineering, transfer learning, dan parameter-efficient fine-tuning;;;;;Mengoptimalkan model dengan prompt engineering dengan Menerapkan zero-shot dan few-shot learning melalui prompt Mini project;;;;;;;;;
;;6). Menerapkan prinsip etika dan keamanan AI dalam pembangunan sistem berbasis LLM;;;;;;Menerapkan etika dan keamanan dengan Mengidentifikasi potensi bias, misuse, dan mitigasinya pada LLM Tugas individu / Studi kasus;"Membangun proyek akhir dengan Mengembangkan aplikasi berbasis LLM untuk domain tertentu Proyek akhir kelompok
";;;;;;;
82;MLOPS (MACHINE LEARNING IN PRODUCTION);1). Menjelaskan konsep dan peran MLOps dalam siklus hidup pengembangan machine learning;Menjelaskan konsep MLOps, denga mampu menjelaskan tahaoan ML lifecycle dan  pentingnya MLOps dalam produksi;;;;;;;;;;;;;
;;2). Merancang pipeline data dan model untuk proses training, evaluasi, dan deployment.;;Merancang pipeline ML dengan Mampu membuat desain pipeline untuk data preprocessing, model training, dan deployment\;;;;;;;;;;;;
;;3). Mengimplementasikan sistem deployment model menggunakan Docker dan Kubernetes.;;;Menggunakan Docker dan Kubernetes dengan Mampumpu membuat container image dan mengelola  deployment model;;;;;;;;;;;
;;4) . Mengelola workflow MLOps menggunakan MLflow atau Kubeflow untuk otomatisasi model training dan monitor;;;;Mengimplementasikan workflow MLOps dengan Mampu menggunakan MLflow/Kubeflow untuk tracking dan pipeline otomatis;;;;;;;;;;
;;5). Melakukan monitoring, logging, dan retraining otomatis untuk menjaga performa model produksi.;;;;;Melakukan monitoring dan retraining dengan mampu melakukan logging, alerting, dan retraining otomatis Mini project;;;;;;;;;
;;6). Menunjukkan profesionalisme dan kolaborasi dalam tim MLOps serta memperhatikan etika dan keamanan data;;;;;;"Menerapkan etika dan kolaborasi dalam proyek tim dan memperhatikan keamanan data Observasi proyek / Presentasi
";;;;;;;;
83;NATURAL LANGUAGE PROCESSING (NLP);1). Menjelaskan konsep dasar Natural Language Processing dan representasi data teks.;Menjelaskan konsep NLP dan Mampu menjelaskan pipeline NLP serta perbedaannya;;;;;;;;;;;;;
;;2). Mengimplementasikan teknik preprocessing teks seperti tokenisasi, stemming, dan stopword removal.;;Melakukan preprocessing teks dengan Mengimplementasikan tokenisasi, lemmatization, dan stopword removal;;;;;;;;;;;;
;;3). Membangun model NLP berbasis machine learning dan deep learning sederhana.;;;Menggunakan embedding untuk Menggunakan Word2Vec atau GloVe untuk merepresentasikan data teks;;;;;;;;;;;
;;4). Menggunakan embedding modern seperti Word2Vec, GloVe, dan Transformer embeddings untuk representasi;;;;Membangun model NLP dengan Mengimplementasikan model klasifikasi teks dengan RNN, LSTM, atau Transformer;;;;;;;;;;
;;5). Mengevaluasi performa model NLP menggunakan metrik seperti F1-score, BLEU, dan perplexity;;;;;Mengevaluasi performa model dengan Mengukur performa model NLP menggunakan metrik yang tepat;;;;;;;;;
;;6). Menerapkan teknik fine-tuning model pra-latih (BERT, GPT, T5) untuk aplikasi NLP spesifik;;;;;;melakukan fine-tuning dengan melakukann fine-tuning BERT atau GPT untuk tugas klasifikasi atau generasi teks;;;;;;;;
;;7). Menunjukkan kemampuan kerja tim, etika profesional, dan tanggung jawab dalam proyek NLP;;;;;;;"menunjukkan etika profesional dengan menunjukkan kolaborasi dan tanggung  jawab dalam proyek NLP
 Observasi";;;;;;;
84;PRAKTIKUM NATURAL LANGUAGE PROCESSING (NLP);1). Menjelaskan konsep dasar Natural Language Processing dan representasi data teks.;Menjelaskan konsep NLP dan Mampu menjelaskan pipeline NLP serta perbedaannya;;;;;;;;;;;;;
;;2). Mengimplementasikan teknik preprocessing teks seperti tokenisasi, stemming, dan stopword removal.;;Melakukan preprocessing teks dengan Mengimplementasikan tokenisasi, lemmatization, dan stopword removal;;;;;;;;;;;;
;;3). Membangun model NLP berbasis machine learning dan deep learning sederhana.;;;Menggunakan embedding untuk Menggunakan Word2Vec atau GloVe untuk merepresentasikan data teks;;;;;;;;;;;
;;4). Menggunakan embedding modern seperti Word2Vec, GloVe, dan Transformer embeddings untuk representasi;;;;Membangun model NLP dengan Mengimplementasikan model klasifikasi teks dengan RNN, LSTM, atau Transformer;;;;;;;;;;
;;5). Mengevaluasi performa model NLP menggunakan metrik seperti F1-score, BLEU, dan perplexity;;;;;Mengevaluasi performa model dengan Mengukur performa model NLP menggunakan metrik yang tepat;;;;;;;;;
;;6). Menerapkan teknik fine-tuning model pra-latih (BERT, GPT, T5) untuk aplikasi NLP spesifik;;;;;;melakukan fine-tuning dengan melakukann fine-tuning BERT atau GPT untuk tugas klasifikasi atau generasi teks;;;;;;;;
;;7). Menunjukkan kemampuan kerja tim, etika profesional, dan tanggung jawab dalam proyek NLP;;;;;;;"menunjukkan etika profesional dengan menunjukkan kolaborasi dan tanggung  jawab dalam proyek NLP
 Observasi";;;;;;;
85;RESPONSIBLE AI: ETHICS AND GOVERNANCE;1). Menjelaskan prinsip dan kerangka kerja etika AI (AI Ethics Frameworks).;Menjelaskan prinsip etika AI serta Mampu menjelaskan framework OECD, EU AI Act, dan IEEE untuk AI Ethics;;;;;;;;;;;;;
;;2). Menganalisis isu-isu etika seperti bias, fairness, privacy, dan accountability dalam sistem AI.;;Menganalisis isu bias dan fairness untuk Mampu mendeteksi dan menjelaskan bias algoritmik serta dampaknya;;;;;;;;;;;;
;;3). Mengidentifikasi risiko sosial dan hukum yang muncul dari penggunaan AI di berbagai domain;;;Menerapkan prinsip fairness dengan Menggunakan alat seperti AIF360 atau Fairlearn untuk mengukur fairness;;;;;;;;;;;
;;4). Merancang kebijakan dan pedoman internal untuk implementasi AI yang etis dan sesuai regulasi.;;;;Mengidentifikasi risiko AI dengan Menilai risiko privasi, keamanan, dan diskriminasi dalam kasus nyata;;;;;;;;;;
;;5). Mengevaluasi sistem AI berdasarkan prinsip explainability, robustness, dan trustworthiness. ;;;;;Merancang kebijakan etika AI dengan Menulis dokumen governance framework dan rekomendasi etika organisasi;;;;;;;;;
;;6). Menunjukkan kepemimpinan etis dan kolaborasi lintas disiplin dalam pengelolaan proyek AI;;;;;;Mengevaluasi model AI dengan Menggunakan indikator transparansi dan akuntabilitas model A;"Menunjukkan etika profesional Berkolaborasi lintas tim dan menghormati prinsip tanggung jawab sosial Observasi
";;;;;;;
86;MICROSERVICES: DESIGN AND IMPLEMENTATION;1). Menjelaskan prinsip dan arsitektur microservices serta perbandingannya dengan monolithic architecture.;Menjelaskan arsitektur microservices dengan Mampu menggambarkan komponen utama dan komunikasi antar layanan;;;;;;;;;;;;;
;;2). Merancang dekomposisi layanan berdasarkan domain dan batas konteks (bounded context).;;Mendesain domain decomposition sehingga  dapat Membuat model layanan berdasarkan domain-driven design (DDD);;;;;;;;;;;;
;;3). Mengimplementasikan komunikasi antar layanan menggunakan REST API, gRPC, dan message queue;;; Membangun REST/gRPC services sehingga dapat Mengimplementasikan RESTful API dan gRPC antar layanan;;;;;;;;;;;
;;4). Menerapkan containerization dan deployment layanan menggunakan Docker dan Kubernetes. ;;;;Menggunakan Docker dan Kubernetes sehingga dapat Membuat container image dan mengelola pod, deployment, dan service di Kubernetes;;;;;;;;;;
;;5). Mengintegrasikan API Gateway, service registry, dan circuit breaker pattern untuk manajemen layanan;;;;;Mengonfigurasi API Gateway dengan Mengimplementasikan API gateway menggunakan tools;;;;;;;;;
;;6). Melakukan monitoring, logging, dan troubleshooting microservices di lingkungan produksi. ;;;;;;Menerapkan observability dengan Menggunakan Prometheus, Grafana, dan ELK untuk monitoring dan logging;;;;;;;;
;;7). Menunjukkan kemampuan kolaborasi dan profesionalisme dalam proyek microservices.;;;;;;;Berkolaborasi dalam proyek akhir dengan Mengembangkan sistem microservices dengan tim menggunakan Git dan CI/CD;;;;;;;
87;PRAKTIKUM MICROSERVICES: DESIGN AND IMPLEMENTATION;1). Menjelaskan prinsip dan arsitektur microservices serta perbandingannya dengan monolithic architecture.;Menjelaskan arsitektur microservices dengan Mampu menggambarkan komponen utama dan komunikasi antar layanan;;;;;;;;;;;;;
;;2). Merancang dekomposisi layanan berdasarkan domain dan batas konteks (bounded context).;;Mendesain domain decomposition sehingga  dapat Membuat model layanan berdasarkan domain-driven design (DDD);;;;;;;;;;;;
;;3). Mengimplementasikan komunikasi antar layanan menggunakan REST API, gRPC, dan message queue;;; Membangun REST/gRPC services sehingga dapat Mengimplementasikan RESTful API dan gRPC antar layanan;;;;;;;;;;;
;;4). Menerapkan containerization dan deployment layanan menggunakan Docker dan Kubernetes. ;;;;Menggunakan Docker dan Kubernetes sehingga dapat Membuat container image dan mengelola pod, deployment, dan service di Kubernetes;;;;;;;;;;
;;5). Mengintegrasikan API Gateway, service registry, dan circuit breaker pattern untuk manajemen layanan;;;;;Mengonfigurasi API Gateway dengan Mengimplementasikan API gateway menggunakan tools;;;;;;;;;
;;6). Melakukan monitoring, logging, dan troubleshooting microservices di lingkungan produksi. ;;;;;;Menerapkan observability dengan Menggunakan Prometheus, Grafana, dan ELK untuk monitoring dan logging;;;;;;;;
;;7). Menunjukkan kemampuan kolaborasi dan profesionalisme dalam proyek microservices.;;;;;;;Berkolaborasi dalam proyek akhir dengan Mengembangkan sistem microservices dengan tim menggunakan Git dan CI/CD;;;;;;;
88;SECURE SOFTWARE DEVELOPMENT LIFECYCLE (DEVSECOPS);1). Menjelaskan konsep dasar dan pentingnya DEVSECOPS dalam pengembangan perangkat lunak;Menjelaskan konsep DEVSECOPS dengan Mampu menjelaskan tahapan utama DEVSECOPS dan perbedaannya dengan DEVSECOPS tradision;;;;;;;;;;;;;
;;2). Menganalisis risiko keamanan dalam fase requirement, design, implementation, dan deployment. ;;Melakukan analisis risiko serta Mengidentifikasi potensi ancaman dan risiko keamanan dalam software design;;;;;;;;;;;;
;;3). Merancang dan menerapkan kontrol keamanan pada tahap perancangan dan pengkodean.;;;Menerapkan kontrol keamanan dengan Mampu merancang mekanisme keamanan di tingkat arsitektur dan kode;;;;;;;;;;;
